label,num_images_baseline,positive_rate_baseline,predicted_positive_rate_baseline,tp_baseline,fp_baseline,fn_baseline,tn_baseline,roc_auc_baseline,average_precision_baseline,accuracy_baseline,balanced_accuracy_baseline,precision_baseline,recall_baseline,specificity_baseline,false_negative_rate_baseline,negative_predictive_value_baseline,f1_baseline,f2_baseline,num_images_old_tta,positive_rate_old_tta,predicted_positive_rate_old_tta,tp_old_tta,fp_old_tta,fn_old_tta,tn_old_tta,roc_auc_old_tta,average_precision_old_tta,accuracy_old_tta,balanced_accuracy_old_tta,precision_old_tta,recall_old_tta,specificity_old_tta,false_negative_rate_old_tta,negative_predictive_value_old_tta,f1_old_tta,f2_old_tta,num_images_tta2,positive_rate_tta2,predicted_positive_rate_tta2,tp_tta2,fp_tta2,fn_tta2,tn_tta2,roc_auc_tta2,average_precision_tta2,accuracy_tta2,balanced_accuracy_tta2,precision_tta2,recall_tta2,specificity_tta2,false_negative_rate_tta2,negative_predictive_value_tta2,f1_tta2,f2_tta2,num_images_delta_old_minus_baseline,num_images_delta_tta2_minus_baseline,num_images_delta_tta2_minus_old_tta,positive_rate_delta_old_minus_baseline,positive_rate_delta_tta2_minus_baseline,positive_rate_delta_tta2_minus_old_tta,predicted_positive_rate_delta_old_minus_baseline,predicted_positive_rate_delta_tta2_minus_baseline,predicted_positive_rate_delta_tta2_minus_old_tta,tp_delta_old_minus_baseline,tp_delta_tta2_minus_baseline,tp_delta_tta2_minus_old_tta,fp_delta_old_minus_baseline,fp_delta_tta2_minus_baseline,fp_delta_tta2_minus_old_tta,fn_delta_old_minus_baseline,fn_delta_tta2_minus_baseline,fn_delta_tta2_minus_old_tta,tn_delta_old_minus_baseline,tn_delta_tta2_minus_baseline,tn_delta_tta2_minus_old_tta,roc_auc_delta_old_minus_baseline,roc_auc_delta_tta2_minus_baseline,roc_auc_delta_tta2_minus_old_tta,average_precision_delta_old_minus_baseline,average_precision_delta_tta2_minus_baseline,average_precision_delta_tta2_minus_old_tta,accuracy_delta_old_minus_baseline,accuracy_delta_tta2_minus_baseline,accuracy_delta_tta2_minus_old_tta,balanced_accuracy_delta_old_minus_baseline,balanced_accuracy_delta_tta2_minus_baseline,balanced_accuracy_delta_tta2_minus_old_tta,precision_delta_old_minus_baseline,precision_delta_tta2_minus_baseline,precision_delta_tta2_minus_old_tta,recall_delta_old_minus_baseline,recall_delta_tta2_minus_baseline,recall_delta_tta2_minus_old_tta,specificity_delta_old_minus_baseline,specificity_delta_tta2_minus_baseline,specificity_delta_tta2_minus_old_tta,false_negative_rate_delta_old_minus_baseline,false_negative_rate_delta_tta2_minus_baseline,false_negative_rate_delta_tta2_minus_old_tta,negative_predictive_value_delta_old_minus_baseline,negative_predictive_value_delta_tta2_minus_baseline,negative_predictive_value_delta_tta2_minus_old_tta,f1_delta_old_minus_baseline,f1_delta_tta2_minus_baseline,f1_delta_tta2_minus_old_tta,f2_delta_old_minus_baseline,f2_delta_tta2_minus_baseline,f2_delta_tta2_minus_old_tta
Airspace_Opacity,1740.0,0.1028735632183908,0.20229885057471264,96.0,256.0,83.0,1305.0,0.7947992083573415,0.31521261121444444,0.8051724137931034,0.6861577058109863,0.2727272727272727,0.5363128491620112,0.8360025624599615,0.46368715083798884,0.9402017291066282,0.3615819209039548,0.449438202247191,1740.0,0.1028735632183908,0.37528735632183907,138.0,515.0,41.0,1046.0,0.781221033644813,0.29408706673771573,0.6804597701149425,0.7205165003095709,0.2113323124042879,0.770949720670391,0.6700832799487508,0.22905027932960895,0.9622815087396505,0.3317307692307692,0.504017531044558,1740.0,0.1028735632183908,0.37528735632183907,138.0,515.0,41.0,1046.0,0.7812067182260334,0.2940829599578698,0.6804597701149425,0.7205165003095709,0.2113323124042879,0.770949720670391,0.6700832799487508,0.22905027932960895,0.9622815087396505,0.3317307692307692,0.504017531044558,0.0,0.0,0.0,0.0,0.0,0.0,0.17298850574712643,0.17298850574712643,0.0,42.0,42.0,0.0,259.0,259.0,0.0,-42.0,-42.0,0.0,-259.0,-259.0,0.0,-0.013578174712528535,-0.013592490131308144,-1.4315418779609068e-05,-0.021125544476728708,-0.021129651256574622,-4.106779845913788e-06,-0.12471264367816093,-0.12471264367816093,0.0,0.03435879449858459,0.03435879449858459,0.0,-0.061394960322984804,-0.061394960322984804,0.0,0.23463687150837986,0.23463687150837986,0.0,-0.1659192825112107,-0.1659192825112107,0.0,-0.2346368715083799,-0.2346368715083799,0.0,0.022079779633022212,0.022079779633022212,0.0,-0.029851151673185583,-0.029851151673185583,0.0,0.054579328797367044,0.054579328797367044,0.0
Cardiomediastinal_Abnormality,1740.0,0.10862068965517241,0.24885057471264369,131.0,302.0,58.0,1249.0,0.8462060660642221,0.5102973510648592,0.7931034482758621,0.7492043023957917,0.302540415704388,0.6931216931216931,0.8052869116698904,0.30687830687830686,0.9556235654169855,0.4212218649517685,0.5508830950378469,1740.0,0.10862068965517241,0.26436781609195403,132.0,328.0,57.0,1223.0,0.8514356670385039,0.5112125631544384,0.7787356321839081,0.7434681158085413,0.28695652173913044,0.6984126984126984,0.7885235332043843,0.30158730158730157,0.95546875,0.4067796610169492,0.5427631578947368,1740.0,0.10862068965517241,0.26436781609195403,132.0,328.0,57.0,1223.0,0.8514322556875749,0.5111893314811575,0.7787356321839081,0.7434681158085413,0.28695652173913044,0.6984126984126984,0.7885235332043843,0.30158730158730157,0.95546875,0.4067796610169492,0.5427631578947368,0.0,0.0,0.0,0.0,0.0,0.0,0.015517241379310348,0.015517241379310348,0.0,1.0,1.0,0.0,26.0,26.0,0.0,-1.0,-1.0,0.0,-26.0,-26.0,0.0,0.005229600974281823,0.0052261896233527505,-3.4113509290722988e-06,0.0009152120895792315,0.0008919804162983436,-2.3231673280887932e-05,-0.014367816091954033,-0.014367816091954033,0.0,-0.005736186587250391,-0.005736186587250391,0.0,-0.015583893965257556,-0.015583893965257556,0.0,0.005291005291005235,0.005291005291005235,0.0,-0.01676337846550613,-0.01676337846550613,0.0,-0.005291005291005291,-0.005291005291005291,0.0,-0.00015481541698547652,-0.00015481541698547652,0.0,-0.01444220393481932,-0.01444220393481932,0.0,-0.0081199371431101,-0.0081199371431101,0.0
Chronic_Parenchymal_Change,1740.0,0.06494252873563218,0.035632183908045977,20.0,42.0,93.0,1585.0,0.7686876873120081,0.2095150988556294,0.9224137931034483,0.5755883840718843,0.3225806451612903,0.17699115044247787,0.9741856177012908,0.8230088495575221,0.9445768772348033,0.22857142857142856,0.19455252918287938,1740.0,0.06494252873563218,0.009770114942528735,6.0,11.0,107.0,1616.0,0.756966238965249,0.19984749649301575,0.9321839080459771,0.5231682177415408,0.35294117647058826,0.05309734513274336,0.9932390903503381,0.9469026548672567,0.9378990133488102,0.09230769230769231,0.06396588486140725,1740.0,0.06494252873563218,0.009770114942528735,6.0,11.0,107.0,1616.0,0.7569825565267527,0.19970625935271102,0.9321839080459771,0.5231682177415408,0.35294117647058826,0.05309734513274336,0.9932390903503381,0.9469026548672567,0.9378990133488102,0.09230769230769231,0.06396588486140725,0.0,0.0,0.0,0.0,0.0,0.0,-0.02586206896551724,-0.02586206896551724,0.0,-14.0,-14.0,0.0,-31.0,-31.0,0.0,14.0,14.0,0.0,31.0,31.0,0.0,-0.011721448346759145,-0.011705130785255369,1.6317561503775835e-05,-0.009667602362613659,-0.009808839502918387,-0.00014123714030472856,0.009770114942528774,0.009770114942528774,0.0,-0.05242016633034352,-0.05242016633034352,0.0,0.030360531309297945,0.030360531309297945,0.0,-0.12389380530973451,-0.12389380530973451,0.0,0.01905347264904733,0.01905347264904733,0.0,0.1238938053097346,0.1238938053097346,0.0,-0.006677863885993118,-0.006677863885993118,0.0,-0.13626373626373625,-0.13626373626373625,0.0,-0.13058664432147213,-0.13058664432147213,0.0
Focal_Lesion,1740.0,0.05747126436781609,0.1132183908045977,60.0,137.0,40.0,1503.0,0.8598048780487805,0.39334194536729244,0.8982758620689655,0.7582317073170732,0.30456852791878175,0.6,0.9164634146341464,0.4,0.9740764744005185,0.40404040404040403,0.5025125628140703,1740.0,0.05747126436781609,0.11781609195402298,62.0,143.0,38.0,1497.0,0.862030487804878,0.3975085726027752,0.8959770114942529,0.7664024390243902,0.3024390243902439,0.62,0.9128048780487805,0.38,0.9752442996742671,0.4065573770491803,0.512396694214876,1740.0,0.05747126436781609,0.11781609195402298,62.0,143.0,38.0,1497.0,0.8620548780487804,0.3975658905683713,0.8959770114942529,0.7664024390243902,0.3024390243902439,0.62,0.9128048780487805,0.38,0.9752442996742671,0.4065573770491803,0.512396694214876,0.0,0.0,0.0,0.0,0.0,0.0,0.004597701149425287,0.004597701149425287,0.0,2.0,2.0,0.0,6.0,6.0,0.0,-2.0,-2.0,0.0,-6.0,-6.0,0.0,0.002225609756097535,0.0022499999999999742,2.4390243902439046e-05,0.004166627235482778,0.0042239452010788825,5.731796559610425e-05,-0.0022988505747125743,-0.0022988505747125743,0.0,0.00817073170731697,0.00817073170731697,0.0,-0.002129503528537857,-0.002129503528537857,0.0,0.020000000000000018,0.020000000000000018,0.0,-0.003658536585365857,-0.003658536585365857,0.0,-0.020000000000000018,-0.020000000000000018,0.0,0.0011678252737485906,0.0011678252737485906,0.0,0.002516973008776291,0.002516973008776291,0.0,0.009884131400805685,0.009884131400805685,0.0
MACRO_MEAN,1740.0,0.08482758620689654,0.15965517241379312,82.4,195.4,65.2,1397.0,0.8227155305526856,0.3888300011489473,0.8502298850574712,0.7055543142663312,0.30135293751973785,0.5350431003286759,0.8760655282039863,0.46495689967132403,0.9554405320991707,0.36674846233892955,0.4473909469211458,1740.0,0.08482758620689654,0.20919540229885056,90.6,273.4,57.0,1319.0,0.8185495394767107,0.38440151306027465,0.8101149425287357,0.7005861204639616,0.27815648741322124,0.5749887681297908,0.8261834727981323,0.42501123187020917,0.9594854872609121,0.3191261902635973,0.4279530022104831,1740.0,0.08482758620689654,0.20919540229885056,90.6,273.4,57.0,1319.0,0.8185605735125314,0.3843841292065958,0.8101149425287357,0.7005861204639616,0.27815648741322124,0.5749887681297908,0.8261834727981323,0.42501123187020917,0.9594854872609121,0.3191261902635973,0.4279530022104831,0.0,0.0,0.0,0.0,0.0,0.0,0.049540229885057435,0.049540229885057435,0.0,8.199999999999989,8.199999999999989,0.0,77.99999999999997,77.99999999999997,0.0,-8.200000000000003,-8.200000000000003,0.0,-78.0,-78.0,0.0,-0.004165991075974929,-0.004154957040154228,1.1034035820700616e-05,-0.004428488088672633,-0.004445871942351465,-1.7383853678831773e-05,-0.04011494252873549,-0.04011494252873549,0.0,-0.004968193802369569,-0.004968193802369569,0.0,-0.02319645010651661,-0.02319645010651661,0.0,0.03994566780111497,0.03994566780111497,0.0,-0.049882055405854,-0.049882055405854,0.0,-0.03994566780111486,-0.03994566780111486,0.0,0.004044955161741415,0.004044955161741415,0.0,-0.04762227207533226,-0.04762227207533226,0.0,-0.01943794471066268,-0.01943794471066268,0.0
Pleural_Abnormality,1740.0,0.09022988505747126,0.19827586206896552,105.0,240.0,52.0,1343.0,0.8440798129810767,0.515782999242511,0.832183908045977,0.7585894717359203,0.30434782608695654,0.6687898089171974,0.848389134554643,0.33121019108280253,0.9627240143369176,0.41832669322709165,0.539568345323741,1740.0,0.09022988505747126,0.27873563218390807,115.0,370.0,42.0,1213.0,0.8410942699301093,0.5193518663134282,0.7632183908045977,0.7493753294357646,0.23711340206185566,0.732484076433121,0.7662665824384081,0.267515923566879,0.9665338645418327,0.3582554517133956,0.5166217430368374,1740.0,0.09022988505747126,0.27873563218390807,115.0,370.0,42.0,1213.0,0.8411264590735159,0.5193762046728694,0.7632183908045977,0.7493753294357646,0.23711340206185566,0.732484076433121,0.7662665824384081,0.267515923566879,0.9665338645418327,0.3582554517133956,0.5166217430368374,0.0,0.0,0.0,0.0,0.0,0.0,0.08045977011494254,0.08045977011494254,0.0,10.0,10.0,0.0,130.0,130.0,0.0,-10.0,-10.0,0.0,-130.0,-130.0,0.0,-0.002985543050967432,-0.002953353907560796,3.21891434066357e-05,0.003568867070917192,0.0035932054303583483,2.4338359441156143e-05,-0.06896551724137923,-0.06896551724137923,0.0,-0.009214142300155714,-0.009214142300155714,0.0,-0.06723442402510088,-0.06723442402510088,0.0,0.06369426751592355,0.06369426751592355,0.0,-0.08212255211623498,-0.08212255211623498,0.0,-0.06369426751592355,-0.06369426751592355,0.0,0.0038098502049150884,0.0038098502049150884,0.0,-0.06007124151369603,-0.06007124151369603,0.0,-0.022946602286903595,-0.022946602286903595,0.0
