label,num_images,positive_rate,predicted_positive_rate,tp,fp,fn,tn,roc_auc,average_precision,accuracy,balanced_accuracy,precision,recall,specificity,false_negative_rate,negative_predictive_value,f1,f2
Airspace_Opacity,1740.0,0.1028735632183908,0.20229885057471264,96.0,256.0,83.0,1305.0,0.7947992083573415,0.31521261121444444,0.8051724137931034,0.6861577058109863,0.2727272727272727,0.5363128491620112,0.8360025624599615,0.46368715083798884,0.9402017291066282,0.3615819209039548,0.449438202247191
Cardiomediastinal_Abnormality,1740.0,0.10862068965517241,0.24885057471264369,131.0,302.0,58.0,1249.0,0.8462060660642221,0.5102973510648592,0.7931034482758621,0.7492043023957917,0.302540415704388,0.6931216931216931,0.8052869116698904,0.30687830687830686,0.9556235654169855,0.4212218649517685,0.5508830950378469
Pleural_Abnormality,1740.0,0.09022988505747126,0.19827586206896552,105.0,240.0,52.0,1343.0,0.8440798129810767,0.515782999242511,0.832183908045977,0.7585894717359203,0.30434782608695654,0.6687898089171974,0.848389134554643,0.33121019108280253,0.9627240143369176,0.41832669322709165,0.539568345323741
Focal_Lesion,1740.0,0.05747126436781609,0.1132183908045977,60.0,137.0,40.0,1503.0,0.8598048780487805,0.39334194536729244,0.8982758620689655,0.7582317073170732,0.30456852791878175,0.6,0.9164634146341464,0.4,0.9740764744005185,0.40404040404040403,0.5025125628140703
Chronic_Parenchymal_Change,1740.0,0.06494252873563218,0.035632183908045977,20.0,42.0,93.0,1585.0,0.7686876873120081,0.2095150988556294,0.9224137931034483,0.5755883840718843,0.3225806451612903,0.17699115044247787,0.9741856177012908,0.8230088495575221,0.9445768772348033,0.22857142857142856,0.19455252918287938
MACRO_MEAN,1740.0,0.08482758620689654,0.15965517241379312,82.4,195.4,65.2,1397.0,0.8227155305526856,0.3888300011489473,0.8502298850574712,0.7055543142663312,0.30135293751973785,0.5350431003286759,0.8760655282039863,0.46495689967132403,0.9554405320991707,0.36674846233892955,0.4473909469211458
