metric,baseline,tta,delta_tta_minus_baseline
num_images,1740.0,1740.0,0.0
positive_rate,0.3218390804597701,0.3218390804597701,0.0
roc_auc,0.8630962469733656,0.852897245762712,-0.010199001210653647
average_precision,0.7865170381410783,0.7673979704473024,-0.019119067693775915
accuracy,0.8017241379310345,0.7948275862068965,-0.006896551724137945
precision,0.8287461773700305,0.6978557504873294,-0.13089042688270114
recall,0.48392857142857143,0.6392857142857142,0.1553571428571428
f1,0.6110484780157835,0.6672879776328052,0.05623949961702168
