label,num_images,positive_rate,roc_auc,average_precision,accuracy,precision,recall,f1
Airspace_Opacity,1740.0,0.1028735632183908,0.7947992083573415,0.31521261121444444,0.8051724137931034,0.2727272727272727,0.5363128491620112,0.3615819209039548
Cardiomediastinal_Abnormality,1740.0,0.10862068965517241,0.8462060660642221,0.5102973510648592,0.9005747126436782,0.9444444444444444,0.08994708994708994,0.1642512077294686
Pleural_Abnormality,1740.0,0.09022988505747126,0.8440798129810767,0.515782999242511,0.9206896551724137,0.5871559633027523,0.40764331210191085,0.48120300751879697
Focal_Lesion,1740.0,0.05747126436781609,0.8598048780487805,0.39334194536729244,0.9195402298850575,0.35714285714285715,0.5,0.4166666666666667
Chronic_Parenchymal_Change,1740.0,0.06494252873563218,0.7686876873120081,0.2095150988556294,0.9339080459770115,0.375,0.02654867256637168,0.049586776859504134
MACRO_MEAN,1740.0,0.08482758620689654,0.8227155305526856,0.3888300011489473,0.8959770114942527,0.5072941075234654,0.31209038475547674,0.29465791593567825
