tta_mode,batch_index,trainable_parameter_count,accepted_count,selected_count,batch_size,accepted_fraction,mean_entropy,loss,updated
head_plus_bn_tta,62,97998,2,2,16,0.125,0.46855461597442627,0.23280483484268188,True
head_plus_bn_tta,63,97998,4,2,16,0.25,0.4665490388870239,0.2290063500404358,True
head_plus_bn_tta,64,97998,2,2,16,0.125,0.466840922832489,0.261064350605011,True
head_plus_bn_tta,65,97998,1,1,16,0.0625,0.4744890332221985,,False
head_plus_bn_tta,66,97998,3,2,16,0.1875,0.46238499879837036,0.2928842604160309,True
head_plus_bn_tta,67,97998,1,1,16,0.0625,0.4616003632545471,,False
head_plus_bn_tta,68,97998,2,2,16,0.125,0.46637678146362305,0.23317596316337585,True
head_plus_bn_tta,69,97998,0,0,16,0.0,0.47229695320129395,,False
head_plus_bn_tta,70,97998,2,2,16,0.125,0.4586435556411743,0.3202396035194397,True
head_plus_bn_tta,71,97998,2,2,16,0.125,0.46064430475234985,0.28475111722946167,True
head_plus_bn_tta,72,97998,1,1,16,0.0625,0.44933903217315674,,False
head_plus_bn_tta,73,97998,3,2,16,0.1875,0.46592801809310913,0.2485179305076599,True
head_plus_bn_tta,74,97998,1,1,16,0.0625,0.47594109177589417,,False
head_plus_bn_tta,75,97998,4,2,16,0.25,0.4527910649776459,0.26680660247802734,True
head_plus_bn_tta,76,97998,3,2,16,0.1875,0.4723203182220459,0.23519739508628845,True
head_plus_bn_tta,77,97998,2,2,16,0.125,0.4583408832550049,0.2920811176300049,True
head_plus_bn_tta,78,97998,1,1,16,0.0625,0.4770413041114807,,False
head_plus_bn_tta,79,97998,2,2,16,0.125,0.4673551321029663,0.2251196801662445,True
head_plus_bn_tta,80,97998,1,1,16,0.0625,0.4544617235660553,,False
head_plus_bn_tta,81,97998,3,2,16,0.1875,0.4717453122138977,0.23604372143745422,True
head_plus_bn_tta,82,97998,1,1,16,0.0625,0.46484673023223877,,False
head_plus_bn_tta,83,97998,1,1,16,0.0625,0.45856761932373047,,False
head_plus_bn_tta,84,97998,2,2,16,0.125,0.46024495363235474,0.30710119009017944,True
head_plus_bn_tta,85,97998,3,2,16,0.1875,0.45633235573768616,0.3000457286834717,True
head_plus_bn_tta,86,97998,1,1,16,0.0625,0.45653587579727173,,False
head_plus_bn_tta,87,97998,1,1,16,0.0625,0.4748048484325409,,False
head_plus_bn_tta,88,97998,2,2,16,0.125,0.4411974847316742,0.17924189567565918,True
head_plus_bn_tta,89,97998,1,1,16,0.0625,0.452644020318985,,False
head_plus_bn_tta,90,97998,2,2,16,0.125,0.4726622700691223,0.23699957132339478,True
head_plus_bn_tta,91,97998,2,2,16,0.125,0.4593347907066345,0.24759113788604736,True
head_plus_bn_tta,92,97998,2,2,16,0.125,0.4783170223236084,0.3101438283920288,True
head_plus_bn_tta,93,97998,2,2,16,0.125,0.44499167799949646,0.25433558225631714,True
head_plus_bn_tta,94,97998,1,1,16,0.0625,0.46677789092063904,,False
head_plus_bn_tta,95,97998,2,2,16,0.125,0.47085684537887573,0.3102637529373169,True
head_plus_bn_tta,96,97998,2,2,16,0.125,0.4606572687625885,0.23378007113933563,True
head_plus_bn_tta,97,97998,1,1,16,0.0625,0.462275892496109,,False
head_plus_bn_tta,98,97998,2,2,16,0.125,0.4578949809074402,0.29248031973838806,True
head_plus_bn_tta,99,97998,1,1,16,0.0625,0.45861226320266724,,False
head_plus_bn_tta,100,97998,0,0,16,0.0,0.46728822588920593,,False
head_plus_bn_tta,101,97998,3,2,16,0.1875,0.4480803906917572,0.2938443422317505,True
head_plus_bn_tta,102,97998,2,2,16,0.125,0.46535223722457886,0.2573675215244293,True
head_plus_bn_tta,103,97998,3,2,16,0.1875,0.4694775342941284,0.2809494137763977,True
head_plus_bn_tta,104,97998,2,2,16,0.125,0.47576582431793213,0.2819758653640747,True
head_plus_bn_tta,105,97998,1,1,16,0.0625,0.46912822127342224,,False
head_plus_bn_tta,106,97998,2,2,16,0.125,0.4475932717323303,0.32114309072494507,True
head_plus_bn_tta,107,97998,1,1,16,0.0625,0.46498534083366394,,False
head_plus_bn_tta,108,97998,1,1,12,0.08333333333333333,0.4709561765193939,,False
