label,num_images,positive_rate,predicted_positive_rate,tp,fp,fn,tn,roc_auc,average_precision,accuracy,balanced_accuracy,precision,recall,specificity,false_negative_rate,negative_predictive_value,f1,f2
Airspace_Opacity,1740.0,0.1028735632183908,0.37528735632183907,138.0,515.0,41.0,1046.0,0.781221033644813,0.29408706673771573,0.6804597701149425,0.7205165003095709,0.2113323124042879,0.770949720670391,0.6700832799487508,0.22905027932960895,0.9622815087396505,0.3317307692307692,0.504017531044558
Cardiomediastinal_Abnormality,1740.0,0.10862068965517241,0.26436781609195403,132.0,328.0,57.0,1223.0,0.8514356670385039,0.5112125631544384,0.7787356321839081,0.7434681158085413,0.28695652173913044,0.6984126984126984,0.7885235332043843,0.30158730158730157,0.95546875,0.4067796610169492,0.5427631578947368
Pleural_Abnormality,1740.0,0.09022988505747126,0.27873563218390807,115.0,370.0,42.0,1213.0,0.8410942699301093,0.5193518663134282,0.7632183908045977,0.7493753294357646,0.23711340206185566,0.732484076433121,0.7662665824384081,0.267515923566879,0.9665338645418327,0.3582554517133956,0.5166217430368374
Focal_Lesion,1740.0,0.05747126436781609,0.11781609195402298,62.0,143.0,38.0,1497.0,0.862030487804878,0.3975085726027752,0.8959770114942529,0.7664024390243902,0.3024390243902439,0.62,0.9128048780487805,0.38,0.9752442996742671,0.4065573770491803,0.512396694214876
Chronic_Parenchymal_Change,1740.0,0.06494252873563218,0.009770114942528735,6.0,11.0,107.0,1616.0,0.756966238965249,0.19984749649301575,0.9321839080459771,0.5231682177415408,0.35294117647058826,0.05309734513274336,0.9932390903503381,0.9469026548672567,0.9378990133488102,0.09230769230769231,0.06396588486140725
MACRO_MEAN,1740.0,0.08482758620689654,0.20919540229885056,90.6,273.4,57.0,1319.0,0.8185495394767107,0.38440151306027465,0.8101149425287357,0.7005861204639616,0.27815648741322124,0.5749887681297908,0.8261834727981323,0.42501123187020917,0.9594854872609121,0.3191261902635973,0.4279530022104831
