batch_index,accepted_count,batch_size,accepted_fraction,mean_entropy,loss,updated
0,2,16,0.125,0.5438398122787476,0.3253088593482971,True
1,2,16,0.125,0.5319481492042542,0.340748518705368,True
2,3,16,0.1875,0.5401961803436279,0.3551972210407257,True
3,1,16,0.0625,0.5065381526947021,,False
4,4,16,0.25,0.5218896269798279,0.347672551870346,True
5,1,16,0.0625,0.5339118242263794,,False
6,3,16,0.1875,0.5149357914924622,0.3461490571498871,True
7,4,16,0.25,0.5346724987030029,0.3764329254627228,True
8,3,16,0.1875,0.5348092913627625,0.3538509309291839,True
9,3,16,0.1875,0.5070741176605225,0.3870188891887665,True
10,2,16,0.125,0.5347906351089478,0.3136075437068939,True
11,2,16,0.125,0.542826235294342,0.3210582733154297,True
12,2,16,0.125,0.5199667811393738,0.3860659599304199,True
13,1,16,0.0625,0.5404348373413086,,False
14,4,16,0.25,0.4978708624839782,0.3538214564323425,True
15,2,16,0.125,0.4935108721256256,0.2979158759117126,True
16,2,16,0.125,0.5368273854255676,0.3776453137397766,True
17,4,16,0.25,0.5177077651023865,0.3769944310188293,True
18,3,16,0.1875,0.5322147607803345,0.374637633562088,True
19,0,16,0.0,0.5314754247665405,,False
20,1,16,0.0625,0.5408680438995361,,False
21,2,16,0.125,0.5159391164779663,0.3924887776374817,True
22,2,16,0.125,0.4979888498783111,0.2745880484580993,True
23,3,16,0.1875,0.536018967628479,0.3424993455410003,True
24,3,16,0.1875,0.5441874861717224,0.3940761089324951,True
25,4,16,0.25,0.5117605924606323,0.3537005186080932,True
26,3,16,0.1875,0.5277912616729736,0.3342448770999908,True
27,3,16,0.1875,0.5081917643547058,0.3524127900600433,True
28,4,16,0.25,0.5045899152755737,0.3888499438762665,True
29,4,16,0.25,0.497282326221466,0.3823567032814026,True
30,2,16,0.125,0.5436872839927673,0.2921897768974304,True
31,2,16,0.125,0.5319082736968994,0.3561809062957763,True
32,3,16,0.1875,0.5257623195648193,0.3383831977844238,True
33,2,16,0.125,0.513229489326477,0.3317046761512756,True
34,3,16,0.1875,0.5090259313583374,0.3544535338878631,True
