batch_index,accepted_count,selected_count,batch_size,accepted_fraction,mean_entropy,loss,updated
0,2,2,16,0.125,0.4844771027565002,0.3009148240089416,True
1,3,2,16,0.1875,0.468608409166336,0.2999813854694366,True
2,1,1,16,0.0625,0.4785206317901611,,False
3,1,1,16,0.0625,0.45516437292099,,False
4,3,2,16,0.1875,0.4534743428230285,0.2951034903526306,True
5,2,2,16,0.125,0.4733550250530243,0.3111589848995209,True
6,2,2,16,0.125,0.4449664354324341,0.2873824536800384,True
7,2,2,16,0.125,0.4681465029716491,0.2775548696517944,True
8,1,1,16,0.0625,0.475759357213974,,False
9,2,2,16,0.125,0.4563663601875305,0.2318562567234039,True
10,3,2,16,0.1875,0.4671604633331299,0.2800447940826416,True
11,3,2,16,0.1875,0.4736073017120361,0.2570276260375976,True
12,3,2,16,0.1875,0.4694143533706665,0.2836913764476776,True
13,3,2,16,0.1875,0.47250697016716,0.2508665919303894,True
14,3,2,16,0.1875,0.4383895397186279,0.242955282330513,True
15,2,2,16,0.125,0.4528437852859497,0.3165505528450012,True
16,2,2,16,0.125,0.4617171585559845,0.3261727392673492,True
17,1,1,16,0.0625,0.4734662473201751,,False
18,3,2,16,0.1875,0.4705078899860382,0.2935988306999206,True
19,1,1,16,0.0625,0.4707178473472595,,False
20,2,2,16,0.125,0.4709397554397583,0.2414418160915374,True
21,2,2,16,0.125,0.4588711559772491,0.2810015082359314,True
22,2,2,16,0.125,0.4649683237075805,0.20789635181427,True
23,2,2,16,0.125,0.4703772664070129,0.2451489269733429,True
24,3,2,16,0.1875,0.4617484807968139,0.2961967587471008,True
25,5,2,16,0.3125,0.4596497416496277,0.2591087520122528,True
26,2,2,16,0.125,0.4687316417694092,0.2578356266021728,True
27,2,2,16,0.125,0.4603871703147888,0.2463314533233642,True
28,3,2,16,0.1875,0.4494787454605102,0.2841454148292541,True
29,4,2,16,0.25,0.4436286389827728,0.2646969258785248,True
30,2,2,16,0.125,0.4838224351406097,0.2501420974731445,True
31,1,1,16,0.0625,0.4690216183662414,,False
32,2,2,16,0.125,0.457920491695404,0.2723304033279419,True
33,3,2,16,0.1875,0.4665371179580688,0.242239698767662,True
34,2,2,16,0.125,0.4508949518203735,0.2653681635856628,True
35,3,2,16,0.1875,0.4667162001132965,0.2977726459503174,True
36,1,1,16,0.0625,0.4599776864051819,,False
37,2,2,16,0.125,0.4668046832084656,0.2514857053756714,True
38,2,2,16,0.125,0.4701670408248901,0.3107273578643799,True
