tta_mode,batch_index,trainable_parameter_count,accepted_count,batch_size,accepted_fraction,mean_entropy,loss,updated
head_plus_bn_tta,64,88773,1,16,0.0625,0.51998370885849,,False
head_plus_bn_tta,65,88773,2,16,0.125,0.5463975667953491,0.3868184983730316,True
head_plus_bn_tta,66,88773,4,16,0.25,0.5192887783050537,0.39535921812057495,True
head_plus_bn_tta,67,88773,2,16,0.125,0.5259683728218079,0.3428187966346741,True
head_plus_bn_tta,68,88773,3,16,0.1875,0.5265644788742065,0.3394199311733246,True
head_plus_bn_tta,69,88773,2,16,0.125,0.5249226093292236,0.41121214628219604,True
head_plus_bn_tta,70,88773,2,16,0.125,0.5183692574501038,0.3388950824737549,True
head_plus_bn_tta,71,88773,4,16,0.25,0.524282693862915,0.384713739156723,True
head_plus_bn_tta,72,88773,2,16,0.125,0.5255981087684631,0.3929319977760315,True
head_plus_bn_tta,73,88773,2,16,0.125,0.5500022768974304,0.3353536128997803,True
head_plus_bn_tta,74,88773,3,16,0.1875,0.5283658504486084,0.38390418887138367,True
head_plus_bn_tta,75,88773,3,16,0.1875,0.5073283314704895,0.3805455267429352,True
head_plus_bn_tta,76,88773,3,16,0.1875,0.5315125584602356,0.37111416459083557,True
head_plus_bn_tta,77,88773,1,16,0.0625,0.5277248620986938,,False
head_plus_bn_tta,78,88773,3,16,0.1875,0.5218250155448914,0.3147675395011902,True
head_plus_bn_tta,79,88773,3,16,0.1875,0.5066876411437988,0.3608883321285248,True
head_plus_bn_tta,80,88773,1,16,0.0625,0.5338625311851501,,False
head_plus_bn_tta,81,88773,2,16,0.125,0.5102340579032898,0.2743692398071289,True
head_plus_bn_tta,82,88773,2,16,0.125,0.5353545546531677,0.39082008600234985,True
head_plus_bn_tta,83,88773,2,16,0.125,0.5189121961593628,0.4077393412590027,True
head_plus_bn_tta,84,88773,4,16,0.25,0.5271730422973633,0.37577706575393677,True
head_plus_bn_tta,85,88773,3,16,0.1875,0.5213074684143066,0.3777531683444977,True
head_plus_bn_tta,86,88773,6,16,0.375,0.4919775426387787,0.3842203915119171,True
head_plus_bn_tta,87,88773,1,16,0.0625,0.5521085262298584,,False
head_plus_bn_tta,88,88773,2,16,0.125,0.5214431881904602,0.2819606065750122,True
head_plus_bn_tta,89,88773,2,16,0.125,0.5137197971343994,0.37760525941848755,True
head_plus_bn_tta,90,88773,3,16,0.1875,0.5224415063858032,0.3791745603084564,True
head_plus_bn_tta,91,88773,3,16,0.1875,0.5140984654426575,0.40349921584129333,True
head_plus_bn_tta,92,88773,2,16,0.125,0.5357668995857239,0.34618210792541504,True
head_plus_bn_tta,93,88773,3,16,0.1875,0.5180975198745728,0.3462260961532593,True
head_plus_bn_tta,94,88773,2,16,0.125,0.5235302448272705,0.3246389627456665,True
head_plus_bn_tta,95,88773,2,16,0.125,0.5588261485099792,0.3956700563430786,True
head_plus_bn_tta,96,88773,4,16,0.25,0.5133802890777588,0.3382606506347656,True
head_plus_bn_tta,97,88773,2,16,0.125,0.5111070871353149,0.35235148668289185,True
head_plus_bn_tta,98,88773,2,16,0.125,0.546558141708374,0.3980545699596405,True
head_plus_bn_tta,99,88773,2,16,0.125,0.5325065851211548,0.3237078785896301,True
head_plus_bn_tta,100,88773,2,16,0.125,0.5195471048355103,0.33967125415802,True
head_plus_bn_tta,101,88773,2,16,0.125,0.504487931728363,0.3561010956764221,True
head_plus_bn_tta,102,88773,4,16,0.25,0.5203233957290649,0.37229061126708984,True
head_plus_bn_tta,103,88773,2,16,0.125,0.5462632179260254,0.3323984742164612,True
head_plus_bn_tta,104,88773,3,16,0.1875,0.53249591588974,0.3925093114376068,True
head_plus_bn_tta,105,88773,1,16,0.0625,0.5471739768981934,,False
head_plus_bn_tta,106,88773,3,16,0.1875,0.49982234835624695,0.36837276816368103,True
head_plus_bn_tta,107,88773,3,16,0.1875,0.526776134967804,0.3787187337875366,True
head_plus_bn_tta,108,88773,3,12,0.25,0.542172372341156,0.3664574921131134,True
